SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Auditory and speech	47.690874054		All occ	28538.071754	0	All occupations	1	0
00-0000	Auditory and speech	38.767990782		All occ	19273.690085	1	All occupations	1	0
00-0000	Auditory and speech	35.290956324		All occ	22249.229753	2	All occupations	1	0
00-0000	Auditory and speech	30.875215015		All occ	19656.856532	3	All occupations	1	0
00-0000	Auditory and speech	47.37874848		All occ	39584.570838	0	All occupations	2	0
00-0000	Auditory and speech	42.513777633		All occ	33877.557034	1	All occupations	2	0
00-0000	Auditory and speech	38.45012094		All occ	27640.407066	2	All occupations	2	0
00-0000	Auditory and speech	33.70796846		All occ	25661.879431	3	All occupations	2	0
00-0000	Auditory and speech	50.127856454		All occ	51424.98704	0	All occupations	3	0
00-0000	Auditory and speech	42.980204387		All occ	42849.225193	1	All occupations	3	0
00-0000	Auditory and speech	38.389695525		All occ	37464.99612	2	All occupations	3	0
00-0000	Auditory and speech	33.856574466		All occ	40193.444268	3	All occupations	3	0
00-0000	Auditory and speech	44.212578746		All occ	67012.123193	0	All occupations	4	0
00-0000	Auditory and speech	40.14751655		All occ	76143.041493	1	All occupations	4	0
00-0000	Auditory and speech	37.594454374		All occ	71425.333965	2	All occupations	4	0
00-0000	Auditory and speech	34.661825926		All occ	69034.88486	3	All occupations	4	0
00-0000	Auditory and speech	44.09787177		All occ	89897.282618	0	All occupations	5	0
00-0000	Auditory and speech	39.492495323		All occ	100810.84644	1	All occupations	5	0
00-0000	Auditory and speech	37.276153827		All occ	72764.838236	2	All occupations	5	0
00-0000	Auditory and speech	34.439621494		All occ	94243.068818	3	All occupations	5	0
00-0000	Control movement	57.307568869		All occ	30011.256819	0	All occupations	1	0
00-0000	Control movement	48.711603231		All occ	23817.7032	1	All occupations	1	0
00-0000	Control movement	32.692584294		All occ	19615.977327	2	All occupations	1	0
00-0000	Control movement	21.500065019		All occ	19613.275778	3	All occupations	1	0
00-0000	Control movement	59.541919169		All occ	36964.601	0	All occupations	2	0
00-0000	Control movement	48.959675639		All occ	30614.851051	1	All occupations	2	0
00-0000	Control movement	39.691040533		All occ	33394.058858	2	All occupations	2	0
00-0000	Control movement	23.408276845		All occ	26191.410229	3	All occupations	2	0
00-0000	Control movement	53.164774663		All occ	48952.303319	0	All occupations	3	0
00-0000	Control movement	42.919270103		All occ	46086.525796	1	All occupations	3	0
00-0000	Control movement	30.098656598		All occ	40111.176984	2	All occupations	3	0
00-0000	Control movement	8.799754946		All occ	38888.073372	3	All occupations	3	0
00-0000	Control movement	31.271642234		All occ	70274.710996	0	All occupations	4	0
00-0000	Control movement	21.546334545		All occ	74155.00531	1	All occupations	4	0
00-0000	Control movement	9.4103933942		All occ	69032.213872	2	All occupations	4	0
00-0000	Control movement	2.5264075161		All occ	70494.461798	3	All occupations	4	0
00-0000	Control movement	31.832496044		All occ	95479.541044	0	All occupations	5	0
00-0000	Control movement	12.747497939		All occ	98365.123148	1	All occupations	5	0
00-0000	Control movement	4.2122408401		All occ	79145.858827	2	All occupations	5	0
00-0000	Control movement	0		All occ	79941.047908	3	All occupations	5	0
00-0000	Fine manipulative	56.937795235		All occ	26134.230727	0	All occupations	1	0
00-0000	Fine manipulative	51.47879749		All occ	21142.675255	1	All occupations	1	0
00-0000	Fine manipulative	47.285506234		All occ	20817.038563	2	All occupations	1	0
00-0000	Fine manipulative	41.79567622		All occ	19518.743227	3	All occupations	1	0
00-0000	Fine manipulative	57.896762658		All occ	33172.3573	0	All occupations	2	0
00-0000	Fine manipulative	53.668489738		All occ	35292.929611	1	All occupations	2	0
00-0000	Fine manipulative	48.629818603		All occ	30429.0169	2	All occupations	2	0
00-0000	Fine manipulative	39.001823939		All occ	26707.966091	3	All occupations	2	0
00-0000	Fine manipulative	60.393238357		All occ	43090.650624	0	All occupations	3	0
00-0000	Fine manipulative	53.195662128		All occ	45443.104412	1	All occupations	3	0
00-0000	Fine manipulative	46.29427529		All occ	45616.122448	2	All occupations	3	0
00-0000	Fine manipulative	27.966726086		All occ	39393.979749	3	All occupations	3	0
00-0000	Fine manipulative	43.672605358		All occ	69933.785979	0	All occupations	4	0
00-0000	Fine manipulative	34.510485305		All occ	80885.788399	1	All occupations	4	0
00-0000	Fine manipulative	24.640039994		All occ	67753.370379	2	All occupations	4	0
00-0000	Fine manipulative	13.464865303		All occ	70948.648954	3	All occupations	4	0
00-0000	Fine manipulative	49.185047155		All occ	109377.12343	0	All occupations	5	0
00-0000	Fine manipulative	28.460653604		All occ	66978.615055	1	All occupations	5	0
00-0000	Fine manipulative	15.382918979		All occ	99363.72129	2	All occupations	5	0
00-0000	Fine manipulative	9.1239509317		All occ	74069.633391	3	All occupations	5	0
00-0000	Flexibility, balance, and coordination	40.516209483		All occ	27090.250901	0	All occupations	1	0
00-0000	Flexibility, balance, and coordination	32.244242293		All occ	19532.618303	1	All occupations	1	0
00-0000	Flexibility, balance, and coordination	26.851699659		All occ	19661.360701	2	All occupations	1	0
00-0000	Flexibility, balance, and coordination	22.884815069		All occ	20045.373796	3	All occupations	1	0
00-0000	Flexibility, balance, and coordination	39.448417366		All occ	32821.279301	0	All occupations	2	0
00-0000	Flexibility, balance, and coordination	32.939233209		All occ	28809.942584	1	All occupations	2	0
