SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Administering	37.510518846		All occ	20002.844008	0	All occupations	1	0
00-0000	Administering	31.891229557		All occ	19921.993905	1	All occupations	1	0
00-0000	Administering	23.440086075		All occ	20588.174965	2	All occupations	1	0
00-0000	Administering	20.356792223		All occ	20226.849123	3	All occupations	1	0
00-0000	Administering	45.383795829		All occ	35831.844223	0	All occupations	2	0
00-0000	Administering	35.952827735		All occ	28590.381478	1	All occupations	2	0
00-0000	Administering	29.763534014		All occ	28808.59139	2	All occupations	2	0
00-0000	Administering	21.477880935		All occ	25750.726035	3	All occupations	2	0
00-0000	Administering	55.474311397		All occ	51427.336124	0	All occupations	3	0
00-0000	Administering	43.253465952		All occ	39312.276183	1	All occupations	3	0
00-0000	Administering	35.839427494		All occ	42002.560725	2	All occupations	3	0
00-0000	Administering	29.593937466		All occ	37968.863598	3	All occupations	3	0
00-0000	Administering	62.106899298		All occ	88859.418369	0	All occupations	4	0
00-0000	Administering	51.835313644		All occ	68336.53914	1	All occupations	4	0
00-0000	Administering	44.392922873		All occ	63841.798733	2	All occupations	4	0
00-0000	Administering	35.764295639		All occ	63512.92368	3	All occupations	4	0
00-0000	Administering	65.803244261		All occ	105690.31457	0	All occupations	5	0
00-0000	Administering	50.772459911		All occ	81451.371086	1	All occupations	5	0
00-0000	Administering	44.648741959		All occ	90504.219571	2	All occupations	5	0
00-0000	Administering	35.216435371		All occ	75506.760759	3	All occupations	5	0
00-0000	Communicating and interacting	54.455975716		All occ	19472.113835	0	All occupations	1	0
00-0000	Communicating and interacting	49.073714202		All occ	20979.07791	1	All occupations	1	0
00-0000	Communicating and interacting	37.882800201		All occ	22998.218383	2	All occupations	1	0
00-0000	Communicating and interacting	31.947054202		All occ	21896.932885	3	All occupations	1	0
00-0000	Communicating and interacting	59.708075806		All occ	30152.502503	0	All occupations	2	0
00-0000	Communicating and interacting	50.157127528		All occ	28692.705027	1	All occupations	2	0
00-0000	Communicating and interacting	43.839126853		All occ	29747.06181	2	All occupations	2	0
00-0000	Communicating and interacting	37.858115541		All occ	28636.679572	3	All occupations	2	0
00-0000	Communicating and interacting	66.389770825		All occ	42586.450839	0	All occupations	3	0
00-0000	Communicating and interacting	60.040678082		All occ	47828.925118	1	All occupations	3	0
00-0000	Communicating and interacting	52.419679839		All occ	38492.787911	2	All occupations	3	0
00-0000	Communicating and interacting	42.621473942		All occ	40764.341547	3	All occupations	3	0
