SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Body positioning	63.963116775		All occ	28186.377378	0	All occupations	1	0
00-0000	Body positioning	59.45931829		All occ	22190.792153	1	All occupations	1	0
00-0000	Body positioning	57.042245202		All occ	19377.85496	2	All occupations	1	0
00-0000	Body positioning	51.094027831		All occ	20235.134256	3	All occupations	1	0
00-0000	Body positioning	66.256979899		All occ	32791.453783	0	All occupations	2	0
00-0000	Body positioning	59.487407094		All occ	28236.17405	1	All occupations	2	0
00-0000	Body positioning	54.312628742		All occ	29209.297219	2	All occupations	2	0
00-0000	Body positioning	46.986407072		All occ	28681.33602	3	All occupations	2	0
00-0000	Body positioning	62.887207041		All occ	42731.983409	0	All occupations	3	0
00-0000	Body positioning	53.704145707		All occ	47416.538111	1	All occupations	3	0
00-0000	Body positioning	48.06673932		All occ	40385.606377	2	All occupations	3	0
00-0000	Body positioning	41.975722765		All occ	40748.633312	3	All occupations	3	0
00-0000	Body positioning	46.92980799		All occ	62222.161054	0	All occupations	4	0
00-0000	Body positioning	42.90223531		All occ	79599.669333	1	All occupations	4	0
00-0000	Body positioning	40.426468469		All occ	70279.019833	2	All occupations	4	0
00-0000	Body positioning	37.881730506		All occ	73491.062463	3	All occupations	4	0
00-0000	Body positioning	48.800719182		All occ	96087.968061	0	All occupations	5	0
00-0000	Body positioning	40.470744948		All occ	80101.28863	1	All occupations	5	0
00-0000	Body positioning	38.330441632		All occ	97114.063611	2	All occupations	5	0
00-0000	Body positioning	35.980489611		All occ	81752.344072	3	All occupations	5	0
00-0000	Communications	66.054167232		All occ	19872.248089	0	All occupations	1	0
00-0000	Communications	60.945739816		All occ	20608.236267	1	All occupations	1	0
00-0000	Communications	55.05016333		All occ	19702.41584	2	All occupations	1	0
00-0000	Communications	45.102512645		All occ	22880.137661	3	All occupations	1	0
00-0000	Communications	77.855217268		All occ	30283.841346	0	All occupations	2	0
00-0000	Communications	65.721452231		All occ	27682.328949	1	All occupations	2	0
00-0000	Communications	58.593219234		All occ	30471.80611	2	All occupations	2	0
00-0000	Communications	49.27686249		All occ	27881.229862	3	All occupations	2	0
00-0000	Communications	82.613793479		All occ	43982.454765	0	All occupations	3	0
00-0000	Communications	76.981226978		All occ	42663.271497	1	All occupations	3	0
00-0000	Communications	71.103795188		All occ	37750.018629	2	All occupations	3	0
00-0000	Communications	61.712078749		All occ	44321.081664	3	All occupations	3	0
00-0000	Communications	87.562697605		All occ	72682.353357	0	All occupations	4	0
00-0000	Communications	84.523735529		All occ	63276.427019	1	All occupations	4	0
00-0000	Communications	82.441032444		All occ	72365.930962	2	All occupations	4	0
00-0000	Communications	75.882303868		All occ	74834.612094	3	All occupations	4	0
00-0000	Communications	89.343733689		All occ	93994.90971	0	All occupations	5	0
00-0000	Communications	85.93773684		All occ	85985.426641	1	All occupations	5	0
00-0000	Communications	83.024142044		All occ	88620.77653	2	All occupations	5	0
00-0000	Communications	78.908279147		All occ	89463.408142	3	All occupations	5	0
00-0000	Competition and pace and scheduling	74.213243762		All occ	24076.929488	0	All occupations	1	0
00-0000	Competition and pace and scheduling	63.538148203		All occ	23310.845893	1	All occupations	1	0
00-0000	Competition and pace and scheduling	53.404514581		All occ	19795.038354	2	All occupations	1	0
00-0000	Competition and pace and scheduling	43.440593781		All occ	19437.147272	3	All occupations	1	0
00-0000	Competition and pace and scheduling	73.653935838		All occ	36276.940085	0	All occupations	2	0
00-0000	Competition and pace and scheduling	66.181717602		All occ	34957.491451	1	All occupations	2	0
00-0000	Competition and pace and scheduling	58.78772924		All occ	27024.14336	2	All occupations	2	0
00-0000	Competition and pace and scheduling	51.686010207		All occ	26397.510342	3	All occupations	2	0
00-0000	Competition and pace and scheduling	68.678460378		All occ	47571.861668	0	All occupations	3	0
00-0000	Competition and pace and scheduling	61.006612756		All occ	48051.726872	1	All occupations	3	0
00-0000	Competition and pace and scheduling	56.534818965		All occ	41417.276379	2	All occupations	3	0
00-0000	Competition and pace and scheduling	49.372961002		All occ	38931.583936	3	All occupations	3	0
00-0000	Competition and pace and scheduling	62.730267249		All occ	75754.782079	0	All occupations	4	0
00-0000	Competition and pace and scheduling	57.179139528		All occ	74584.40719	1	All occupations	4	0
00-0000	Competition and pace and scheduling	53.903920348		All occ	68306.101161	2	All occupations	4	0
00-0000	Competition and pace and scheduling	48.668001821		All occ	60377.042399	3	All occupations	4	0
00-0000	Competition and pace and scheduling	61.359768234		All occ	117138.23487	0	All occupations	5	0
00-0000	Competition and pace and scheduling	55.56498479		All occ	73617.029873	1	All occupations	5	0
00-0000	Competition and pace and scheduling	53.404642493		All occ	77338.03156	2	All occupations	5	0
00-0000	Competition and pace and scheduling	48.396811838		All occ	70152.872762	3	All occupations	5	0
00-0000	Conflictual contact	61.662942647		All occ	20745.468805	0	All occupations	1	0
00-0000	Conflictual contact	51.41481653		All occ	19583.203182	1	All occupations	1	0
00-0000	Conflictual contact	45.339174706		All occ	21106.678899	2	All occupations	1	0
00-0000	Conflictual contact	38.507586442		All occ	21430.707695	3	All occupations	1	0
00-0000	Conflictual contact	59.841915903		All occ	28338.461043	0	All occupations	2	0
00-0000	Conflictual contact	51.643642697		All occ	30894.143788	1	All occupations	2	0
00-0000	Conflictual contact	45.645573718		All occ	29068.504477	2	All occupations	2	0
00-0000	Conflictual contact	39.480799234		All occ	29258.716253	3	All occupations	2	0
00-0000	Conflictual contact	64.5492462		All occ	40154.016155	0	All occupations	3	0
00-0000	Conflictual contact	51.713789056		All occ	43207.51442	1	All occupations	3	0
00-0000	Conflictual contact	47.36825806		All occ	42497.9189	2	All occupations	3	0
00-0000	Conflictual contact	40.585607065		All occ	44746.156981	3	All occupations	3	0
00-0000	Conflictual contact	63.095369979		All occ	65885.993632	0	All occupations	4	0
00-0000	Conflictual contact	50.134499484		All occ	77901.840201	1	All occupations	4	0
00-0000	Conflictual contact	44.06525596		All occ	69708.869317	2	All occupations	4	0
00-0000	Conflictual contact	39.714835812		All occ	81774.877633	3	All occupations	4	0
00-0000	Conflictual contact	65.742538349		All occ	92997.087049	0	All occupations	5	0
00-0000	Conflictual contact	52.042282005		All occ	100241.88689	1	All occupations	5	0
00-0000	Conflictual contact	44.466679779		All occ	76395.35918	2	All occupations	5	0
00-0000	Conflictual contact	37.803323248		All occ	70931.943566	3	All occupations	5	0
00-0000	Criticality	78.916078332		All occ	26866.750966	0	All occupations	1	0
00-0000	Criticality	69.83898417		All occ	23209.359023	1	All occupations	1	0
00-0000	Criticality	61.40277115		All occ	19286.131792	2	All occupations	1	0
00-0000	Criticality	56.201647135		All occ	21688.256254	3	All occupations	1	0
00-0000	Criticality	80.781935116		All occ	39906.536012	0	All occupations	2	0
00-0000	Criticality	74.782780564		All occ	29671.028166	1	All occupations	2	0
00-0000	Criticality	69.656871798		All occ	26959.012017	2	All occupations	2	0
00-0000	Criticality	60.932157593		All occ	26313.941306	3	All occupations	2	0
00-0000	Criticality	85.076241869		All occ	51516.909131	0	All occupations	3	0
00-0000	Criticality	79.223630992		All occ	49465.964535	1	All occupations	3	0
00-0000	Criticality	74.293841067		All occ	42200.236414	2	All occupations	3	0
00-0000	Criticality	67.278476163		All occ	35691.108221	3	All occupations	3	0
00-0000	Criticality	84.529623806		All occ	77532.863735	0	All occupations	4	0
00-0000	Criticality	75.547149319		All occ	63685.531988	1	All occupations	4	0
00-0000	Criticality	72.110761857		All occ	73145.068787	2	All occupations	4	0
00-0000	Criticality	67.827377563		All occ	66984.330882	3	All occupations	4	0
00-0000	Criticality	86.547197271		All occ	107635.14097	0	All occupations	5	0
00-0000	Criticality	76.776821306		All occ	86027.631258	1	All occupations	5	0
00-0000	Criticality	70.357127007		All occ	68200.934489	2	All occupations	5	0
00-0000	Criticality	66.631459355		All occ	63315.177135	3	All occupations	5	0
00-0000	Environmental conditions	70.491773783		All occ	27023.235042	0	All occupations	1	0
00-0000	Environmental conditions	50.7610298		All occ	19400.123307	1	All occupations	1	0
00-0000	Environmental conditions	43.614435829		All occ	21481.673166	2	All occupations	1	0
00-0000	Environmental conditions	35.734465312		All occ	19401.11212	3	All occupations	1	0
00-0000	Environmental conditions	72.609597684		All occ	38956.373619	0	All occupations	2	0
00-0000	Environmental conditions	63.546300398		All occ	35977.244443	1	All occupations	2	0
00-0000	Environmental conditions	49.60528442		All occ	28155.202879	2	All occupations	2	0
00-0000	Environmental conditions	35.633998799		All occ	26193.353728	3	All occupations	2	0
00-0000	Environmental conditions	69.569422359		All occ	47733.365381	0	All occupations	3	0
00-0000	Environmental conditions	52.510337787		All occ	48209.44053	1	All occupations	3	0
00-0000	Environmental conditions	39.5735099		All occ	39745.059408	2	All occupations	3	0
00-0000	Environmental conditions	30.84761087		All occ	38791.684773	3	All occupations	3	0
00-0000	Environmental conditions	45.209383204		All occ	63659.773723	0	All occupations	4	0
00-0000	Environmental conditions	37.067384972		All occ	71824.952486	1	All occupations	4	0
00-0000	Environmental conditions	32.302467425		All occ	76543.948669	2	All occupations	4	0
00-0000	Environmental conditions	26.767412992		All occ	69215.815438	3	All occupations	4	0
00-0000	Environmental conditions	43.115770125		All occ	88312.541637	0	All occupations	5	0
00-0000	Environmental conditions	34.834462405		All occ	96460.462624	1	All occupations	5	0
00-0000	Environmental conditions	30.253258059		All occ	61834.978054	2	All occupations	5	0
00-0000	Environmental conditions	26.941062971		All occ	106942.15891	3	All occupations	5	0
00-0000	Job hazards and work attire	56.156624534		All occ	27128.891248	0	All occupations	1	0
00-0000	Job hazards and work attire	46.611174907		All occ	22967.412481	1	All occupations	1	0
00-0000	Job hazards and work attire	38.062441546		All occ	19397.497309	2	All occupations	1	0
00-0000	Job hazards and work attire	26.984319167		All occ	19943.707255	3	All occupations	1	0
00-0000	Job hazards and work attire	60.872636765		All occ	39046.553021	0	All occupations	2	0
00-0000	Job hazards and work attire	51.92045471		All occ	32418.518955	1	All occupations	2	0
00-0000	Job hazards and work attire	42.048011411		All occ	28977.616105	2	All occupations	2	0
00-0000	Job hazards and work attire	27.371372377		All occ	26974.677535	3	All occupations	2	0
00-0000	Job hazards and work attire	62.075258473		All occ	46798.104366	0	All occupations	3	0
00-0000	Job hazards and work attire	49.782561472		All occ	47920.521767	1	All occupations	3	0
00-0000	Job hazards and work attire	35.161627691		All occ	34962.732316	2	All occupations	3	0
00-0000	Job hazards and work attire	23.641176999		All occ	41667.058884	3	All occupations	3	0
00-0000	Job hazards and work attire	45.564264559		All occ	68300.522547	0	All occupations	4	0
00-0000	Job hazards and work attire	31.088103174		All occ	71424.274344	1	All occupations	4	0
00-0000	Job hazards and work attire	24.792406415		All occ	71068.560012	2	All occupations	4	0
00-0000	Job hazards and work attire	21.335680308		All occ	71910.067744	3	All occupations	4	0
00-0000	Job hazards and work attire	42.617664712		All occ	103319.4915	0	All occupations	5	0
00-0000	Job hazards and work attire	31.47112948		All occ	90715.894209	1	All occupations	5	0
00-0000	Job hazards and work attire	24.743138912		All occ	58873.78078	2	All occupations	5	0
00-0000	Job hazards and work attire	21.469439273		All occ	98230.909477	3	All occupations	5	0
00-0000	Job interactions and responsibility for others	72.622150727		All occ	19798.624096	0	All occupations	1	0
00-0000	Job interactions and responsibility for others	66.856971974		All occ	19853.052607	1	All occupations	1	0
00-0000	Job interactions and responsibility for others	63.362289605		All occ	21609.771107	2	All occupations	1	0
00-0000	Job interactions and responsibility for others	55.008361961		All occ	24652.152806	3	All occupations	1	0
00-0000	Job interactions and responsibility for others	80.242118525		All occ	33660.502615	0	All occupations	2	0
00-0000	Job interactions and responsibility for others	69.9643239		All occ	25696.048977	1	All occupations	2	0
00-0000	Job interactions and responsibility for others	65.326354747		All occ	28143.144162	2	All occupations	2	0
00-0000	Job interactions and responsibility for others	58.854642035		All occ	32067.992025	3	All occupations	2	0
00-0000	Job interactions and responsibility for others	82.712337054		All occ	48686.293427	0	All occupations	3	0
00-0000	Job interactions and responsibility for others	74.410164706		All occ	48014.502185	1	All occupations	3	0
00-0000	Job interactions and responsibility for others	67.69260475		All occ	37688.937313	2	All occupations	3	0
00-0000	Job interactions and responsibility for others	60.638709158		All occ	37767.900816	3	All occupations	3	0
00-0000	Job interactions and responsibility for others	80.722155301		All occ	71779.855477	0	All occupations	4	0
00-0000	Job interactions and responsibility for others	71.899263017		All occ	69934.752698	1	All occupations	4	0
00-0000	Job interactions and responsibility for others	68.75607807		All occ	70344.152427	2	All occupations	4	0
00-0000	Job interactions and responsibility for others	61.111972921		All occ	70878.784766	3	All occupations	4	0
00-0000	Job interactions and responsibility for others	81.112340949		All occ	106830.2275	0	All occupations	5	0
00-0000	Job interactions and responsibility for others	71.836209254		All occ	82473.824374	1	All occupations	5	0
00-0000	Job interactions and responsibility for others	65.872749366		All occ	65397.702312	2	All occupations	5	0
00-0000	Job interactions and responsibility for others	56.648502146		All occ	66819.698203	3	All occupations	5	0
00-0000	Routine vs challenging	69.311464235		All occ	20375.678042	0	All occupations	1	0
00-0000	Routine vs challenging	63.919658412		All occ	21115.310695	1	All occupations	1	0
00-0000	Routine vs challenging	61.313522083		All occ	19601.210689	2	All occupations	1	0
00-0000	Routine vs challenging	55.7866265		All occ	20659.800002	3	All occupations	1	0
00-0000	Routine vs challenging	76.573714147		All occ	32891.806109	0	All occupations	2	0
00-0000	Routine vs challenging	69.791823542		All occ	30662.390879	1	All occupations	2	0
00-0000	Routine vs challenging	64.805507522		All occ	27713.031606	2	All occupations	2	0
00-0000	Routine vs challenging	58.323630235		All occ	27494.224312	3	All occupations	2	0
00-0000	Routine vs challenging	78.7310444		All occ	41881.095444	0	All occupations	3	0
00-0000	Routine vs challenging	72.296208738		All occ	45179.805605	1	All occupations	3	0
00-0000	Routine vs challenging	67.151368184		All occ	44417.317972	2	All occupations	3	0
00-0000	Routine vs challenging	58.635473214		All occ	36612.185882	3	All occupations	3	0
00-0000	Routine vs challenging	76.078294445		All occ	74183.898109	0	All occupations	4	0
00-0000	Routine vs challenging	70.875913505		All occ	79646.212928	1	All occupations	4	0
00-0000	Routine vs challenging	66.656822505		All occ	70986.071743	2	All occupations	4	0
00-0000	Routine vs challenging	60.270264534		All occ	56482.477438	3	All occupations	4	0
00-0000	Routine vs challenging	74.823898305		All occ	108338.2899	0	All occupations	5	0
00-0000	Routine vs challenging	67.195763604		All occ	105345.76323	1	All occupations	5	0
00-0000	Routine vs challenging	64.340952743		All occ	75424.898407	2	All occupations	5	0
00-0000	Routine vs challenging	60.497011472		All occ	60913.892055	3	All occupations	5	0
00-0000	Work setting	61.484234956		All occ	24861.91337	0	All occupations	1	0
00-0000	Work setting	50.532406849		All occ	23812.58772	1	All occupations	1	0
00-0000	Work setting	44.194405584		All occ	19450.982106	2	All occupations	1	0
00-0000	Work setting	41.121124804		All occ	19491.058439	3	All occupations	1	0
00-0000	Work setting	67.302702603		All occ	33615.521324	0	All occupations	2	0
00-0000	Work setting	55.176391348		All occ	30826.119684	1	All occupations	2	0
00-0000	Work setting	46.232550837		All occ	27507.295054	2	All occupations	2	0
00-0000	Work setting	39.440438801		All occ	26303.443793	3	All occupations	2	0
00-0000	Work setting	69.23757575		All occ	50067.934167	0	All occupations	3	0
00-0000	Work setting	56.892425788		All occ	42874.848387	1	All occupations	3	0
00-0000	Work setting	43.994068122		All occ	38283.007879	2	All occupations	3	0
00-0000	Work setting	38.101325215		All occ	41024.302422	3	All occupations	3	0
00-0000	Work setting	57.69193274		All occ	59310.707676	0	All occupations	4	0
00-0000	Work setting	49.387907713		All occ	75636.816701	1	All occupations	4	0
00-0000	Work setting	44.388940324		All occ	64627.302899	2	All occupations	4	0
00-0000	Work setting	39.292058585		All occ	77841.996001	3	All occupations	4	0
00-0000	Work setting	50.93552621		All occ	90138.926415	0	All occupations	5	0
00-0000	Work setting	44.501564694		All occ	92326.936508	1	All occupations	5	0
00-0000	Work setting	41.200770285		All occ	95047.723662	2	All occupations	5	0
00-0000	Work setting	37.785225787		All occ	71056.29763	3	All occupations	5	0
11-0000	Body positioning	41.723076923	6936990	Management	98560	2	Management		2
11-0000	Communications	85.482051282	6936990	Management	98560	0	Management		2
11-0000	Competition and pace and scheduling	58.914102564	6936990	Management	98560	1	Management		2
11-0000	Conflictual contact	54.188461538	6936990	Management	98560	1	Management		2
11-0000	Criticality	78.276923077	6936990	Management	98560	0	Management		2
11-0000	Environmental conditions	37.274358974	6936990	Management	98560	2	Management		2
11-0000	Job hazards and work attire	32.033653846	6936990	Management	98560	2	Management		2
11-0000	Job interactions and responsibility for others	78.506923077	6936990	Management	98560	0	Management		2
11-0000	Routine vs challenging	68.667307692	6936990	Management	98560	1	Management		2
11-0000	Work setting	51.104945055	6936990	Management	98560	1	Management		2
11-1011	Body positioning	38.866666667	238940	Management	175110	2	Chief Executives	5	1
11-1011	Communications	88.683333333	238940	Management	175110	0	Chief Executives	5	1
11-1011	Competition and pace and scheduling	60.9	238940	Management	175110	0	Chief Executives	5	1
11-1011	Conflictual contact	52.233333333	238940	Management	175110	1	Chief Executives	5	1
11-1011	Criticality	81.075	238940	Management	175110	0	Chief Executives	5	1
11-1011	Environmental conditions	35.783333333	238940	Management	175110	1	Chief Executives	5	1
11-1011	Job hazards and work attire	29.775	238940	Management	175110	1	Chief Executives	5	1
11-1011	Job interactions and responsibility for others	80.48	238940	Management	175110	0	Chief Executives	5	1
11-1011	Routine vs challenging	66.975	238940	Management	175110	1	Chief Executives	5	1
11-1011	Work setting	50.471428571	238940	Management	175110	0	Chief Executives	5	1
11-1021	Body positioning	42.6	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Communications	87.8	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Competition and pace and scheduling	61.733333333	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Conflictual contact	57.4	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Criticality	85.65	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Environmental conditions	37.966666667	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Job hazards and work attire	36.975	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Job interactions and responsibility for others	88.44	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Routine vs challenging	73.25	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Work setting	48.542857143	2145140	Management	97730	1	General and Operations Managers	4	1
11-2011	Body positioning	42.755555556	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Communications	83.6	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Competition and pace and scheduling	64.8	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Conflictual contact	46.4	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Criticality	72.1	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Environmental conditions	29.5	29340	Management	95890	3	Advertising and Promotions Managers	4	1
