SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Arts and humanities	23.370733657		All occ	20267.108411	0	All occupations	1	0
00-0000	Arts and humanities	20.864042602		All occ	19642.057519	1	All occupations	1	0
00-0000	Arts and humanities	18.824073006		All occ	20577.145466	2	All occupations	1	0
00-0000	Arts and humanities	14.232100868		All occ	22905.801567	3	All occupations	1	0
00-0000	Arts and humanities	27.032764215		All occ	26933.65069	0	All occupations	2	0
00-0000	Arts and humanities	22.105703133		All occ	30387.115855	1	All occupations	2	0
00-0000	Arts and humanities	18.100239089		All occ	32907.31395	2	All occupations	2	0
00-0000	Arts and humanities	14.572961254		All occ	28641.91085	3	All occupations	2	0
00-0000	Arts and humanities	33.291772974		All occ	37646.862798	0	All occupations	3	0
00-0000	Arts and humanities	26.78687218		All occ	43666.830645	1	All occupations	3	0
00-0000	Arts and humanities	22.349011254		All occ	46690.497476	2	All occupations	3	0
00-0000	Arts and humanities	17.303231231		All occ	40178.379142	3	All occupations	3	0
00-0000	Arts and humanities	48.307895292		All occ	55844.450077	0	All occupations	4	0
00-0000	Arts and humanities	35.444147316		All occ	66693.734317	1	All occupations	4	0
00-0000	Arts and humanities	26.763247812		All occ	82132.525031	2	All occupations	4	0
00-0000	Arts and humanities	21.561511706		All occ	74184.481672	3	All occupations	4	0
00-0000	Arts and humanities	57.090522289		All occ	70236.805457	0	All occupations	5	0
00-0000	Arts and humanities	42.47044051		All occ	64394.22548	1	All occupations	5	0
00-0000	Arts and humanities	34.120618147		All occ	106518.11625	2	All occupations	5	0
00-0000	Arts and humanities	25.443486821		All occ	102060.47784	3	All occupations	5	0
00-0000	Business and management	41.090073859		All occ	19855.20149	0	All occupations	1	0
00-0000	Business and management	37.39464158		All occ	20106.143547	1	All occupations	1	0
00-0000	Business and management	31.44278599		All occ	20730.762339	2	All occupations	1	0
00-0000	Business and management	23.456484431		All occ	23253.963295	3	All occupations	1	0
00-0000	Business and management	50.200212052		All occ	30075.743928	0	All occupations	2	0
00-0000	Business and management	38.804892776		All occ	31254.805467	1	All occupations	2	0
00-0000	Business and management	32.871831545		All occ	26479.750194	2	All occupations	2	0
00-0000	Business and management	24.204881428		All occ	28763.149672	3	All occupations	2	0
00-0000	Business and management	54.976983043		All occ	42610.297298	0	All occupations	3	0
00-0000	Business and management	46.908289403		All occ	43881.43842	1	All occupations	3	0
00-0000	Business and management	40.072361951		All occ	46090.051442	2	All occupations	3	0
00-0000	Business and management	31.212858985		All occ	37059.350333	3	All occupations	3	0
00-0000	Business and management	64.71138856		All occ	81061.11066	0	All occupations	4	0
00-0000	Business and management	56.556819644		All occ	63297.150002	1	All occupations	4	0
00-0000	Business and management	47.076814886		All occ	68018.753339	2	All occupations	4	0
00-0000	Business and management	37.927755983		All occ	67160.216522	3	All occupations	4	0
00-0000	Business and management	61.882666751		All occ	100030.88454	0	All occupations	5	0
00-0000	Business and management	51.079534652		All occ	91340.441459	1	All occupations	5	0
00-0000	Business and management	45.516550571		All occ	77833.743288	2	All occupations	5	0
00-0000	Business and management	38.746788376		All occ	70838.229696	3	All occupations	5	0
00-0000	Communications	31.852118903		All occ	19867.83707	0	All occupations	1	0
00-0000	Communications	25.325456819		All occ	20183.138474	1	All occupations	1	0
00-0000	Communications	19.950870715		All occ	20212.725231	2	All occupations	1	0
00-0000	Communications	12.602417621		All occ	26155.549182	3	All occupations	1	0
00-0000	Communications	36.530705671		All occ	30469.978204	0	All occupations	2	0
00-0000	Communications	28.080310815		All occ	30502.20713	1	All occupations	2	0
00-0000	Communications	22.282629825		All occ	27885.22833	2	All occupations	2	0
00-0000	Communications	14.566044193		All occ	29222.745683	3	All occupations	2	0
00-0000	Communications	45.242607942		All occ	45271.928313	0	All occupations	3	0
00-0000	Communications	34.727416083		All occ	45888.820492	1	All occupations	3	0
00-0000	Communications	28.679648243		All occ	37439.92883	2	All occupations	3	0
00-0000	Communications	21.778725438		All occ	40590.599411	3	All occupations	3	0
00-0000	Communications	53.19286401		All occ	81579.738413	0	All occupations	4	0
00-0000	Communications	41.47135897		All occ	79135.663468	1	All occupations	4	0
00-0000	Communications	35.126450866		All occ	67223.582415	2	All occupations	4	0
00-0000	Communications	30.295705727		All occ	60182.03502	3	All occupations	4	0
00-0000	Communications	49.506992456		All occ	74780.18987	0	All occupations	5	0
00-0000	Communications	41.022753007		All occ	87122.4222	1	All occupations	5	0
00-0000	Communications	36.702927995		All occ	86015.011949	2	All occupations	5	0
00-0000	Communications	31.196695176		All occ	99268.536434	3	All occupations	5	0
00-0000	Education and training	52.299159644		All occ	25514.982289	0	All occupations	1	0
00-0000	Education and training	41.423686636		All occ	19421.660786	1	All occupations	1	0
00-0000	Education and training	35.695899054		All occ	21335.703611	2	All occupations	1	0
00-0000	Education and training	30.313606242		All occ	22540.391138	3	All occupations	1	0
00-0000	Education and training	57.76465486		All occ	35983.660022	0	All occupations	2	0
