SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.A.1.a	Reading Comprehension	46.758161161		All occ	20102.165633	0	All occupations	1	0
00-0000	2.A.1.a	Reading Comprehension	43.175341565		All occ	21377.39255	1	All occupations	1	0
00-0000	2.A.1.a	Reading Comprehension	40.669640521		All occ	19482.329881	2	All occupations	1	0
00-0000	2.A.1.a	Reading Comprehension	34.429901674		All occ	22013.541184	3	All occupations	1	0
00-0000	2.A.1.a	Reading Comprehension	57.141419114		All occ	30026.391129	0	All occupations	2	0
00-0000	2.A.1.a	Reading Comprehension	50.119460886		All occ	34032.557372	1	All occupations	2	0
00-0000	2.A.1.a	Reading Comprehension	46.503390308		All occ	28074.75894	2	All occupations	2	0
00-0000	2.A.1.a	Reading Comprehension	40.529287493		All occ	26076.291798	3	All occupations	2	0
00-0000	2.A.1.a	Reading Comprehension	65.870122232		All occ	46788.193597	0	All occupations	3	0
00-0000	2.A.1.a	Reading Comprehension	61.141454683		All occ	42272.647273	1	All occupations	3	0
00-0000	2.A.1.a	Reading Comprehension	54.677436927		All occ	38336.435816	2	All occupations	3	0
00-0000	2.A.1.a	Reading Comprehension	49.650407882		All occ	39550.790236	3	All occupations	3	0
00-0000	2.A.1.a	Reading Comprehension	71.944931232		All occ	75209.07979	0	All occupations	4	0
00-0000	2.A.1.a	Reading Comprehension	68.797233689		All occ	74337.069568	1	All occupations	4	0
00-0000	2.A.1.a	Reading Comprehension	66.209383909		All occ	72744.161074	2	All occupations	4	0
00-0000	2.A.1.a	Reading Comprehension	62.51688939		All occ	62908.023731	3	All occupations	4	0
00-0000	2.A.1.a	Reading Comprehension	78.241779629		All occ	82880.851026	0	All occupations	5	0
00-0000	2.A.1.a	Reading Comprehension	75.235126089		All occ	107755.07975	1	All occupations	5	0
00-0000	2.A.1.a	Reading Comprehension	72.574769847		All occ	87010.834121	2	All occupations	5	0
00-0000	2.A.1.a	Reading Comprehension	68.318126203		All occ	81683.394986	3	All occupations	5	0
00-0000	2.A.1.b	Active Listening	52.996666348		All occ	19879.137258	0	All occupations	1	0
00-0000	2.A.1.b	Active Listening	47.191856285		All occ	19416.732937	1	All occupations	1	0
00-0000	2.A.1.b	Active Listening	45.0240877		All occ	21008.94806	2	All occupations	1	0
00-0000	2.A.1.b	Active Listening	42.522199505		All occ	22155.219154	3	All occupations	1	0
00-0000	2.A.1.b	Active Listening	60.722072039		All occ	29512.935201	0	All occupations	2	0
00-0000	2.A.1.b	Active Listening	52.907492434		All occ	28836.850803	1	All occupations	2	0
00-0000	2.A.1.b	Active Listening	49.618102579		All occ	33807.345817	2	All occupations	2	0
00-0000	2.A.1.b	Active Listening	44.594383831		All occ	26171.28472	3	All occupations	2	0
00-0000	2.A.1.b	Active Listening	66.784184305		All occ	42536.760612	0	All occupations	3	0
00-0000	2.A.1.b	Active Listening	62.556821641		All occ	46130.056568	1	All occupations	3	0
00-0000	2.A.1.b	Active Listening	57.149794843		All occ	36422.915265	2	All occupations	3	0
00-0000	2.A.1.b	Active Listening	50.848978197		All occ	42838.749669	3	All occupations	3	0
00-0000	2.A.1.b	Active Listening	69.730368122		All occ	65187.633886	0	All occupations	4	0
00-0000	2.A.1.b	Active Listening	67.25963166		All occ	75511.884623	1	All occupations	4	0
00-0000	2.A.1.b	Active Listening	65.075258948		All occ	66646.071582	2	All occupations	4	0
00-0000	2.A.1.b	Active Listening	62.11822565		All occ	76113.408724	3	All occupations	4	0
00-0000	2.A.1.b	Active Listening	75.74665203		All occ	89774.370995	0	All occupations	5	0
00-0000	2.A.1.b	Active Listening	70.772130766		All occ	97932.292222	1	All occupations	5	0
00-0000	2.A.1.b	Active Listening	68.078472871		All occ	92545.511172	2	All occupations	5	0
00-0000	2.A.1.b	Active Listening	65.458487241		All occ	79096.480852	3	All occupations	5	0
00-0000	2.A.1.c	Writing	45.549563138		All occ	22032.528696	0	All occupations	1	0
