SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Content	39.402114972		All occ	20246.737397	0	All occupations	1	0
00-0000	Content	35.296217439		All occ	19325.558947	1	All occupations	1	0
00-0000	Content	33.823708758		All occ	20414.40056	2	All occupations	1	0
00-0000	Content	29.329957083		All occ	21709.777476	3	All occupations	1	0
00-0000	Content	46.352643487		All occ	30191.723803	0	All occupations	2	0
00-0000	Content	41.905366529		All occ	29007.26452	1	All occupations	2	0
00-0000	Content	37.855301209		All occ	31174.90758	2	All occupations	2	0
00-0000	Content	31.591440719		All occ	26542.153456	3	All occupations	2	0
00-0000	Content	55.532289664		All occ	50445.398589	0	All occupations	3	0
00-0000	Content	50.675923877		All occ	47134.143113	1	All occupations	3	0
00-0000	Content	47.75778007		All occ	34956.066155	2	All occupations	3	0
00-0000	Content	42.405503348		All occ	37380.277142	3	All occupations	3	0
00-0000	Content	62.833394008		All occ	73145.252574	0	All occupations	4	0
00-0000	Content	58.100686903		All occ	74282.932737	1	All occupations	4	0
00-0000	Content	54.925727096		All occ	76712.708914	2	All occupations	4	0
00-0000	Content	51.169023024		All occ	57480.904853	3	All occupations	4	0
00-0000	Content	69.472154489		All occ	100105.23782	0	All occupations	5	0
00-0000	Content	65.795977599		All occ	92824.705157	1	All occupations	5	0
00-0000	Content	61.939590259		All occ	89825.376617	2	All occupations	5	0
00-0000	Content	57.780250259		All occ	86151.656328	3	All occupations	5	0
00-0000	Process	45.453709634		All occ	20710.467872	0	All occupations	1	0
00-0000	Process	42.73108173		All occ	19831.816239	1	All occupations	1	0
00-0000	Process	40.16284574		All occ	20493.173101	2	All occupations	1	0
00-0000	Process	34.693562748		All occ	19979.406228	3	All occupations	1	0
00-0000	Process	54.452331882		All occ	36678.996511	0	All occupations	2	0
00-0000	Process	47.659796708		All occ	26270.511236	1	All occupations	2	0
00-0000	Process	44.403007554		All occ	32156.295096	2	All occupations	2	0
00-0000	Process	37.505124845		All occ	26490.750228	3	All occupations	2	0
00-0000	Process	59.709063146		All occ	47828.968864	0	All occupations	3	0
00-0000	Process	54.217608781		All occ	42432.389671	1	All occupations	3	0
00-0000	Process	50.960761322		All occ	39204.228559	2	All occupations	3	0
00-0000	Process	47.105275583		All occ	38562.349234	3	All occupations	3	0
00-0000	Process	64.90513753		All occ	69210.272939	0	All occupations	4	0
00-0000	Process	61.368037494		All occ	84261.20291	1	All occupations	4	0
00-0000	Process	57.73329268		All occ	71966.166812	2	All occupations	4	0
00-0000	Process	53.799456951		All occ	57866.954126	3	All occupations	4	0
00-0000	Process	68.904129438		All occ	95502.571938	0	All occupations	5	0
00-0000	Process	66.172730443		All occ	92450.021243	1	All occupations	5	0
00-0000	Process	64.081678084		All occ	96088.836301	2	All occupations	5	0
00-0000	Process	59.52044963		All occ	73545.949106	3	All occupations	5	0
00-0000	Resource management	32.982767193		All occ	20319.190068	0	All occupations	1	0
00-0000	Resource management	30.5591416		All occ	20993.010349	1	All occupations	1	0
00-0000	Resource management	24.655244273		All occ	20453.152056	2	All occupations	1	0
00-0000	Resource management	21.701000862		All occ	19639.651497	3	All occupations	1	0
00-0000	Resource management	41.556835456		All occ	33897.462951	0	All occupations	2	0
00-0000	Resource management	33.257052855		All occ	28476.184338	1	All occupations	2	0
00-0000	Resource management	28.410916012		All occ	26900.376852	2	All occupations	2	0
00-0000	Resource management	22.940317412		All occ	27369.01453	3	All occupations	2	0
00-0000	Resource management	47.557971144		All occ	47568.808388	0	All occupations	3	0
00-0000	Resource management	37.737048248		All occ	44624.102896	1	All occupations	3	0
00-0000	Resource management	33.913223526		All occ	38276.286757	2	All occupations	3	0
00-0000	Resource management	28.075328263		All occ	38870.449999	3	All occupations	3	0
00-0000	Resource management	57.406838292		All occ	90688.646423	0	All occupations	4	0
00-0000	Resource management	45.569456206		All occ	70480.320619	1	All occupations	4	0
00-0000	Resource management	41.120261059		All occ	68634.578166	2	All occupations	4	0
00-0000	Resource management	33.556962082		All occ	56528.698872	3	All occupations	4	0
00-0000	Resource management	55.328370928		All occ	104445.83245	0	All occupations	5	0
00-0000	Resource management	42.869223167		All occ	100929.91485	1	All occupations	5	0
00-0000	Resource management	39.117849308		All occ	73521.358959	2	All occupations	5	0
00-0000	Resource management	32.731455104		All occ	57865.407643	3	All occupations	5	0
00-0000	Social	45.429771833		All occ	19602.898551	0	All occupations	1	0
00-0000	Social	42.817128837		All occ	19948.71901	1	All occupations	1	0
00-0000	Social	38.312572206		All occ	21236.857621	2	All occupations	1	0
00-0000	Social	34.510893569		All occ	22058.344793	3	All occupations	1	0
00-0000	Social	52.804205634		All occ	27782.755767	0	All occupations	2	0
00-0000	Social	44.311324712		All occ	31776.406517	1	All occupations	2	0
