SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_SOCrank	SOCTitle	jobzone	scale_rank
00-0000	1.C.1.a	Achievement/Effort	74.735623171		All occ	24314.997241		All occupations	1	0
00-0000	1.C.1.a	Achievement/Effort	66.489325156		All occ	19459.59984		All occupations	1	1
00-0000	1.C.1.a	Achievement/Effort	63.069944919		All occ	21792.513441		All occupations	1	2
00-0000	1.C.1.a	Achievement/Effort	56.784410663		All occ	19809.849868		All occupations	1	3
00-0000	1.C.1.a	Achievement/Effort	78.959955045		All occ	27360.191418		All occupations	2	0
00-0000	1.C.1.a	Achievement/Effort	72.865853407		All occ	31078.265795		All occupations	2	1
00-0000	1.C.1.a	Achievement/Effort	68.314830086		All occ	29951.298669		All occupations	2	2
00-0000	1.C.1.a	Achievement/Effort	63.792896315		All occ	28859.199799		All occupations	2	3
00-0000	1.C.1.a	Achievement/Effort	83.561917907		All occ	46565.010279		All occupations	3	0
00-0000	1.C.1.a	Achievement/Effort	78.576464984		All occ	39502.175835		All occupations	3	1
00-0000	1.C.1.a	Achievement/Effort	75.5811179		All occ	46135.195656		All occupations	3	2
00-0000	1.C.1.a	Achievement/Effort	67.733796358		All occ	40061.540015		All occupations	3	3
00-0000	1.C.1.a	Achievement/Effort	86.600161459		All occ	67911.690492		All occupations	4	0
00-0000	1.C.1.a	Achievement/Effort	82.403566481		All occ	74572.22031		All occupations	4	1
00-0000	1.C.1.a	Achievement/Effort	79.393873731		All occ	73239.90232		All occupations	4	2
00-0000	1.C.1.a	Achievement/Effort	75.424168442		All occ	65413.073587		All occupations	4	3
00-0000	1.C.1.a	Achievement/Effort	90.487685347		All occ	95523.705923		All occupations	5	0
00-0000	1.C.1.a	Achievement/Effort	86.662272006		All occ	103067.16482		All occupations	5	1
00-0000	1.C.1.a	Achievement/Effort	82.448782289		All occ	79440.861096		All occupations	5	2
00-0000	1.C.1.a	Achievement/Effort	77.673327465		All occ	79594.793243		All occupations	5	3
00-0000	1.C.1.b	Persistence	71.426335514		All occ	24709.381185		All occupations	1	0
00-0000	1.C.1.b	Persistence	66.03788327		All occ	19629.449793		All occupations	1	1
00-0000	1.C.1.b	Persistence	61.675009143		All occ	20104.678912		All occupations	1	2
00-0000	1.C.1.b	Persistence	55.832280449		All occ	19725.068036		All occupations	1	3
00-0000	1.C.1.b	Persistence	80.104205982		All occ	35895.167076		All occupations	2	0
