SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Achievement orientation	73.179712348		All occ	24494.563908	0	All occupations	1	0
00-0000	Achievement orientation	66.896637504		All occ	19528.694819	1	All occupations	1	0
00-0000	Achievement orientation	64.222992503		All occ	20307.856334	2	All occupations	1	0
00-0000	Achievement orientation	57.78212322		All occ	19773.702524	3	All occupations	1	0
00-0000	Achievement orientation	78.496474117		All occ	29749.288067	0	All occupations	2	0
00-0000	Achievement orientation	74.288368205		All occ	30795.986816	1	All occupations	2	0
00-0000	Achievement orientation	70.064979578		All occ	28953.268056	2	All occupations	2	0
00-0000	Achievement orientation	64.342221478		All occ	28254.049674	3	All occupations	2	0
00-0000	Achievement orientation	83.794888156		All occ	46022.155807	0	All occupations	3	0
00-0000	Achievement orientation	80.261793937		All occ	43500.369873	1	All occupations	3	0
00-0000	Achievement orientation	77.598155832		All occ	44187.007274	2	All occupations	3	0
00-0000	Achievement orientation	71.794847212		All occ	36033.317483	3	All occupations	3	0
00-0000	Achievement orientation	87.255671777		All occ	65889.103381	0	All occupations	4	0
00-0000	Achievement orientation	84.088976402		All occ	80074.58023	1	All occupations	4	0
00-0000	Achievement orientation	81.450563659		All occ	70497.292681	2	All occupations	4	0
00-0000	Achievement orientation	76.693878372		All occ	67355.913623	3	All occupations	4	0
00-0000	Achievement orientation	90.180421995		All occ	101882.68102	0	All occupations	5	0
00-0000	Achievement orientation	87.457129612		All occ	88195.095617	1	All occupations	5	0
00-0000	Achievement orientation	84.313763534		All occ	79859.749331	2	All occupations	5	0
00-0000	Achievement orientation	79.425126061		All occ	87618.467082	3	All occupations	5	0
00-0000	Adjustment	80.143520968		All occ	19887.777275	0	All occupations	1	0
00-0000	Adjustment	75.326409242		All occ	20173.035035	1	All occupations	1	0
00-0000	Adjustment	70.874298975		All occ	21510.534446	2	All occupations	1	0
00-0000	Adjustment	63.500655408		All occ	20958.450111	3	All occupations	1	0
00-0000	Adjustment	85.098617306		All occ	27304.407298	0	All occupations	2	0
00-0000	Adjustment	77.572217987		All occ	33257.599741	1	All occupations	2	0
00-0000	Adjustment	74.269062004		All occ	30402.48035	2	All occupations	2	0
00-0000	Adjustment	68.736016511		All occ	27594.84	3	All occupations	2	0
00-0000	Adjustment	89.078279676		All occ	37690.370051	0	All occupations	3	0
00-0000	Adjustment	84.554920751		All occ	43780.91085	1	All occupations	3	0
00-0000	Adjustment	80.057652552		All occ	49861.771133	2	All occupations	3	0
00-0000	Adjustment	72.42929863		All occ	40489.265262	3	All occupations	3	0
00-0000	Adjustment	91.652129933		All occ	60716.50048	0	All occupations	4	0
00-0000	Adjustment	84.494925186		All occ	76513.741954	1	All occupations	4	0
00-0000	Adjustment	80.111952738		All occ	70822.535399	2	All occupations	4	0
00-0000	Adjustment	73.757929299		All occ	81487.671825	3	All occupations	4	0
00-0000	Adjustment	90.649470919		All occ	83101.132271	0	All occupations	5	0
00-0000	Adjustment	85.422646947		All occ	104818.61899	1	All occupations	5	0
00-0000	Adjustment	80.558053783		All occ	83530.720476	2	All occupations	5	0
00-0000	Adjustment	72.603307291		All occ	67271.93421	3	All occupations	5	0
00-0000	Conscientiousness	85.203547987		All occ	20111.773048	0	All occupations	1	0
00-0000	Conscientiousness	79.711879687		All occ	21245.557216	1	All occupations	1	0
00-0000	Conscientiousness	75.946360156		All occ	20863.530366	2	All occupations	1	0
00-0000	Conscientiousness	72.832410098		All occ	19282.317223	3	All occupations	1	0
00-0000	Conscientiousness	90.035537327		All occ	27613.632074	0	All occupations	2	0
00-0000	Conscientiousness	85.87066692		All occ	32818.823454	1	All occupations	2	0
00-0000	Conscientiousness	81.467182019		All occ	31431.538405	2	All occupations	2	0
00-0000	Conscientiousness	76.518023507		All occ	27074.411321	3	All occupations	2	0
00-0000	Conscientiousness	93.983962179		All occ	43386.038705	0	All occupations	3	0
00-0000	Conscientiousness	90.877634254		All occ	39170.022297	1	All occupations	3	0
00-0000	Conscientiousness	87.655147399		All occ	44093.19765	2	All occupations	3	0
00-0000	Conscientiousness	81.865329033		All occ	43182.477674	3	All occupations	3	0
00-0000	Conscientiousness	94.122103659		All occ	68304.970789	0	All occupations	4	0
00-0000	Conscientiousness	90.939056251		All occ	61411.062499	1	All occupations	4	0
00-0000	Conscientiousness	88.533783043		All occ	68809.043809	2	All occupations	4	0
